source_provider,query,provider_mix,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,rumor_noise_keyword_count,attention_keyword_count,news_attention_score,rumor_noise_score,news_risk_score,top_titles
google_news_rss,000500,google_news_rss,5,1,1,2,2,1,1,8,2,6,"특징주, 가온전선-전선 테마 상승세에 3.7% ↑ - 매일경제 마켓 | 가온전선·DL이앤씨, '케이블 신공법' 검증 완료…내년 공동주택 본격 적용 - v.daum.net | 가온전선-DL이앤씨, 케이블 신공법 공동주택 검증 완료…내년 적용 - 뉴스1"
google_news_rss,000760,google_news_rss,4,1,0,2,2,1,1,6,2,6,"이화산업(000760) - 매일경제 마켓 | 이화산업(000760) - 매일경제 마켓 | 상한가(11월28일), 11월 마지막 주 '불기둥' 종목은?? : 네이버 블로그 - Naver Blog"
google_news_rss,003490,google_news_rss,5,1,1,2,2,0,0,6,0,6,"대한항공(003490) - 씽크풀 AI | 대한항공, 인천-히로시마 노선 신규 취항…12월부터 운항 - KB Think | 대한항공·아시아나항공 합병 결의…통합 앞두고 막바지 준비(종합) - 매일경제 마켓"
google_news_rss,006220,google_news_rss,5,1,1,3,2,1,1,8,2,7,"[생생한 주식쇼 생쇼] 제주은행 (006220) - 매일경제TV | 특징주, 제주은행-은행 테마 상승세에 1.48% ↑ - 매일경제 마켓 | [업앤다운]은행주 하락…제주은행↑·케이뱅크↓ - NSP통신"
google_news_rss,009160,google_news_rss,5,1,1,3,3,0,0,6,0,9,"[MK 골든크로스 돌파종목 : SIMPAC(009160) & 삼륭물산(014970)] - 매일경제 마켓 | SIMPAC, 129만1990주 자기주식 취득 결정 - 디지털투데이 | 심팩, 합병 이사회 결의 무효확인 소송 항소장 각하명령 수령 - 디지털투데이"
google_news_rss,012630,google_news_rss,5,1,1,2,3,0,0,6,0,8,"[실적속보]HDC, 3년 중 최고 영업이익 기록, 매출액은 전년동기 대비 -16%↓ (연결) - 씽크풀 AI | 공정위 '친족 계열사 20개 누락' 정몽규 HDC 회장 검찰 고발 - 연합뉴스 | 에이치디씨, 불성실공시법인 지정 예고 - 디지털투데이"
google_news_rss,020560,google_news_rss,5,1,0,4,2,1,2,7,2,8,"대한항공·아시아나항공 합병 결의…통합 앞두고 막바지 준비(종합) - 매일경제 마켓 | 아시아나, 대한항공 포함 임직원 자녀 초청 '승무원 진로 교육' 실시 - v.daum.net | [장중수급포착] 아시아나항공, 외국인/기관 동시 순매수… 주가 +1.96% - 씽크풀 AI"
google_news_rss,023760,google_news_rss,5,1,3,1,1,0,0,8,0,3,"한국캐피탈, 회사채 500억 조달…영업 확대 실탄 채운다 - ibtomato.com | 한국캐피탈, 임시주총서 2대 1 주식 병합·정관 일부 변경 가결 - 디지털투데이 | 한국캐피탈 (023760) - 씽크풀 AI"
google_news_rss,028050,google_news_rss,5,1,4,2,2,2,1,13,4,6,삼성E&A(028050)저점을 줄때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - 씽크풀 AI | 삼성E&A '다시 돌아온 반도체 투자 사이클 수혜' 증권사 발표에 강세…6.24% - 매일경제 마켓 | [종목상담]삼성엔지니어링(028050) - 매일경제TV
google_news_rss,029460,google_news_rss,5,1,2,2,2,2,2,11,4,6,"케이씨, 애프터마켓서 10%대 급등 - 연합뉴스 | [실적속보]케이씨, 작년 4Q 매출액 1761억(-19%) 영업이익 35.6억(-88%) (연결) - 씽크풀 AI | 특징주, 케이씨-반도체 장비 테마 상승세에 1.93% ↑ - 매일경제 마켓"
google_news_rss,055550,google_news_rss,5,1,2,2,2,0,0,7,0,6,"신한지주(055550) - 매일경제 마켓 | [기업실적]신한투자증권, 상반기 순이익 5777억원…‘IB·WM’ 수익성 개선 - NSP통신 | 신한지주, 자사주·배당 매력 동시 폭발…목표주가↑ - 프라임경제"
google_news_rss,061040,google_news_rss,5,1,2,3,3,2,1,11,4,9,"[실적속보]알에프텍, 3년 중 최저 매출 기록, 영업이익은 적자지속 (연결) - 씽크풀 AI | 알에프텍, 북미 5G 투자 재개 수혜 ""차세대 안테나 필터 유닛 양산"" - v.daum.net | 알에프텍, 150억원 유상증자…오성첨단소재에 제3자배정 - 연합뉴스"
google_news_rss,130660,google_news_rss,5,1,3,1,1,2,2,12,4,3,"한전산업(130660) - 씽크풀 AI | 특징주, 한전산업-원자력발전 테마 상승세에 26.76% ↑ - 매일경제 마켓 | 한전산업(130660) - 씽크풀 AI"
google_news_rss,131100,google_news_rss,5,1,2,1,1,0,0,7,0,3,"기아 주가, 8월 20일 1,900원 내린 131,100원 마감 - 톱스타뉴스 | [리포트 브리핑]코스메카코리아, '분기 및 연간 실적 추정' 목표가 140,000원 - 한화투자증권 - 뉴스핌 | 초록뱀미디어, '2026 AI 콘텐츠 페스티벌' 광고 부문 흥행 - 파이낸셜뉴스"
