stock_code,corp_name,event_type,report_nm,news_count,news_sentiment_score,hype_keyword_count,rumor_keyword_count,retail_keyword_count,positive_catalyst_keyword_count,risk_noise_keyword_count,social_attention_score,rumor_noise_score,risk_noise_score,attention_label,rumor_label,risk_label,source_text_sample
322780,코퍼스코리아,major_shareholder_change,최대주주변경              ,5.0,6.0,0,0,0,1,0,5.5,0,0,low_attention,no_rumor_signal,no_risk_noise,"코퍼스코리아 최대주주변경               major_shareholder_change 코퍼스코리아, 250억원 수혈로 새 출발…정상화 로드맵은 아직 | 코퍼스코리아, 250억 규모 투자금 조달...새 경영체제 구축 본격화 | 아티스트스튜디오, M83에 25억 지분투자…'원스톱' 제작 생태계 완성"
352940,인바이오,disclosure_violation,불성실공시법인미지정              (지정유예),5.0,7.0,1,0,0,0,1,6.5,0,3,medium_attention,no_rumor_signal,risk_noise_detected,"인바이오 불성실공시법인미지정              (지정유예) disclosure_violation 인바이오, 불성실공시법인 지정 유예 결정 | 폭염·폭우 속 농작물 피해 복구 기대감... 비료·농약주 뭉칫돈 유입 뚜... | 인바이오, 상반기 매출액 246억…전년比 10.0%↑"
002020,코오롱,supply_contract,[기재정정]단일판매ㆍ공급계약체결(자회사의 주요경영사항)              ,5.0,3.0,0,0,0,3,0,9.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,"코오롱 [기재정정]단일판매ㆍ공급계약체결(자회사의 주요경영사항)               supply_contract '스마트 셔츠' 만든 한인과학자, 美국방부 4억8천만달러 프로젝트 이끈... | 의류쇼핑 줄었는데…6개 패션기업 일제히 반등, 왜? | 초저전력 AI 반도체 기업, 520억 시리즈A 투자 유치 [VC 브리핑]"
003070,코오롱글로벌,supply_contract,[기재정정]단일판매ㆍ공급계약체결              ,5.0,5.0,0,0,0,2,0,7.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,"코오롱글로벌 [기재정정]단일판매ㆍ공급계약체결               supply_contract [Who Is ?] 최신원 SK네트웍스 명예회장 | 이연제약, 상반기 외부 임원 4명 영입…충주공장 사업화 속도 | 중국 Z세대 사로잡은 K패션… 인디 브랜드로 무한 영토 확장"
033530,SJG세종,merger,주요사항보고서(회사합병결정),5.0,1.0,0,0,0,2,0,7.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,"SJG세종 주요사항보고서(회사합병결정) merger 이랜시스, 차세대 감속기 라인업 확대로 밸류에이션 재평가 | 울산 상장사 29곳 중 20곳 상반기 영업익 개선 | 로봇 대전환기 맞아 몸값 뛰었다… 하이젠알앤엠, 핵심 부품 독주 체제"
073190,듀오백,major_shareholder_change,최대주주변경              ,5.0,3.0,0,0,0,0,0,3.5,0,0,low_attention,no_rumor_signal,no_risk_noise,"듀오백 최대주주변경               major_shareholder_change [공시]듀오백, 정관영 대표 부고 후 주권매매거래 정지 | 듀오백, 대표이사 변경 | 거래소 ""듀오백, 20일부터 주권매매거래 정지"""
389680,유디엠텍,disclosure_violation,불성실공시법인지정예고              (공시번복),5.0,7.0,3,0,0,3,1,18.5,0,3,high_attention,no_rumor_signal,risk_noise_detected,"유디엠텍 불성실공시법인지정예고              (공시번복) disclosure_violation 유디엠텍, 단일판매 공급계약 해지로 불성실공시법인지정 예고 | 첨단 로보틱스 솔루션 부각… 지능형로봇·AI 테마 상승랠리 포착 | 한라캐스트, 미래 로봇 공급망 진입 성공… 차세대 모듈 수주 기대감 UP"
290270,휴네시온,disclosure_violation,불성실공시법인미지정              (지정유예),5.0,-3.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,"휴네시온 불성실공시법인미지정              (지정유예) disclosure_violation 휴네시온, 불성실공시법인 지정 유예 결정 | [AI SOC②] AI로 전문가 부족·SOC 과부하 문제 해결 | ""안철수부터 나섰다""...자사주 사들인 보안업계 경영진들 '명암'"
148250,알엔투테크놀로지,disclosure_violation,불성실공시법인지정              (공시불이행),5.0,1.0,1,0,0,1,2,8.5,0,6,medium_attention,no_rumor_signal,risk_noise_detected,"알엔투테크놀로지 불성실공시법인지정              (공시불이행) disclosure_violation 알엔투테크놀로지, 주주총회소집결의 정정 지연으로 불성실공시법인 지... | [52주] 신고가 4개, 신저가 21개... 코스피 6500 하회 | [공시] 애니메디솔루션·혜인 '거래정지 예고', 성호전자·저스템 '투자..."
210120,캔버스엔,convertible_bond,[기재정정]주요사항보고서(전환사채권발행결정),5.0,-1.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,"캔버스엔 [기재정정]주요사항보고서(전환사채권발행결정) convertible_bond '그래, 이혼하자' 오늘 이혼 전쟁 | '그래 이혼하자' 이민정 오열, 무슨 일?…방송 시간·인물관계도·몇부... | 캔버스엔, 20일 주권매매거래 정지 해제"
003470,유안타증권,major_shareholder_change,최대주주등소유주식변동신고서              ,5.0,5.0,0,0,0,1,0,5.5,0,0,low_attention,no_rumor_signal,no_risk_noise,"유안타증권 최대주주등소유주식변동신고서               major_shareholder_change [금융투자 상반기 실적]토스증권, 대형사급 이익...해외주식이 99% | 금감원, 비청산 장외파생상품거래 가이드라인 1년 연장 | [더벨][하우스 분석 | 유안타증권] 리테일·홀세일 날았다…반기 영업익..."
351320,넥사다이내믹스,convertible_bond,주요사항보고서(자기전환사채만기전취득결정),5.0,7.0,1,0,0,1,2,8.5,0,6,medium_attention,no_rumor_signal,risk_noise_detected,"넥사다이내믹스 주요사항보고서(자기전환사채만기전취득결정) convertible_bond 상장폐지 앞두고 '깜짝 급등락'…소수계좌 거래집중 4배 늘었다 | 8월 14일 주식시장 주요공시 | [공시] 한국피아이엠·혜인 '투자경고', NHN·씨이랩·핀텔 '투자주의' 등..."
028260,삼성물산,supply_contract,[기재정정]단일판매ㆍ공급계약체결              ,5.0,2.0,0,0,0,3,0,9.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,"삼성물산 [기재정정]단일판매ㆍ공급계약체결               supply_contract 의류쇼핑 줄었는데…6개 패션기업 일제히 반등, 왜? | AI 데이터센터 뛰어드는 건설사들…전력 확보가 관건 | “안 싸우는 게 상책”…목동 재건축, 수주전 실종"
043090,더테크놀로지,spin_off,주요사항보고서(회사분할결정),5.0,10.0,2,0,0,1,1,11.5,0,3,medium_attention,no_rumor_signal,risk_noise_detected,"더테크놀로지 주요사항보고서(회사분할결정) spin_off 뉴욕증시 사흘 하락 끝 반등…美 국채금리 급등세 진정-[글로벌 마감 시... | [마켓 브리핑] 美재무부 ""장기국채 바이백 규모 최소 두 배 확대"" | 뉴욕증시, 모더나 176% 폭등에 바이오주 불기둥…다우 53463 마감"
307870,비투엔,major_shareholder_change,[기재정정]최대주주변경을수반하는주식양수도계약체결              ,5.0,0.0,0,0,0,2,1,7.5,0,3,medium_attention,no_rumor_signal,risk_noise_detected,"비투엔 [기재정정]최대주주변경을수반하는주식양수도계약체결               major_shareholder_change [공시] 애니메디솔루션·혜인 '거래정지 예고', 성호전자·저스템 '투자... | 비투엔, 최대주주 스트레지1호조합으로 변경 | 비투엔, 쌍방울 체제서 스트레지1호로 최대주주 변경"
074610,이엔플러스,lawsuit,소송등의판결ㆍ결정(일정금액이상의청구)              ,5.0,-2.0,0,0,0,1,1,5.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,"이엔플러스 소송등의판결ㆍ결정(일정금액이상의청구)               lawsuit 기계 상장기업 브랜드평판 8월 빅데이터 분석... 1위 두산에너빌리티, ... | 8월 18일 주식시장 주요공시 | 상폐 위기 셀레스트라, 경영진 관련 투자금은 먼저 상환…대표 고발"
012630,HDC,supply_contract,단일판매ㆍ공급계약체결(자회사의 주요경영사항)              ,5.0,8.0,0,0,0,3,2,9.5,0,6,medium_attention,no_rumor_signal,risk_noise_detected,"HDC 단일판매ㆍ공급계약체결(자회사의 주요경영사항)               supply_contract [인터뷰] 이재용 독대했던 지배구조 전문가, 고려아연 감사위원 후보로... | 청약 불패 이어갈까 … 청주 가경 아이파크에 `쏠리는 눈' | [아시아나 소송전①]""결정권 없었는데 490억 손실?""…미래에셋, 인수 주..."
020560,아시아나항공,lawsuit,소송등의제기ㆍ신청(일정금액이상의청구)              ,5.0,3.0,0,0,0,1,2,5.5,0,6,low_attention,no_rumor_signal,risk_noise_detected,"아시아나항공 소송등의제기ㆍ신청(일정금액이상의청구)               lawsuit 진에어, 적자에도 몸집 키워…'통합 LCC' 출범 승부수 | 800도 견디는 '배터리 방화팩'…기내 화재 구원투수 될까 | 통합 앞두고 마일리지 부채 첫 4조원 돌파…승인 지연에 적립·사용 혼선"
294870,IPARK현대산업개발,supply_contract,단일판매ㆍ공급계약체결              ,5.0,8.0,0,0,0,4,0,11.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,"IPARK현대산업개발 단일판매ㆍ공급계약체결               supply_contract [오늘의 IR] HEM파마·실리콘투·위메이드맥스 등 | 서준오 노원구청장 “태릉CC 개발땐 교통망 확충 필수… ‘미래 경제 도... | “안 싸우는 게 상책”…목동 재건축, 수주전 실종"
