source_provider,query,provider_mix,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,rumor_noise_keyword_count,attention_keyword_count,news_attention_score,rumor_noise_score,news_risk_score,top_titles
google_news_rss,001060,google_news_rss,5,1,0,1,1,0,0,5,0,3,"[바이오스냅] 동국제약, '마데캄 블록 MD 크림' 출시 - 연합뉴스 | JW중외제약, 비만약 '보팡글루타이드' 당뇨 임상 3상도 신청 - 연합뉴스 | JW중외제약, '프렌즈' 토탈 아이케어 브랜드로 키운다 - v.daum.net"
google_news_rss,003490,google_news_rss,5,1,0,1,1,0,1,5,0,3,"[장중수급포착] 대한항공, 기관 5일 연속 순매수행진... 주가 +4.18% - 씽크풀 AI | 대한·아시아나항공, 서울 양천구 초등·중학생 대상 항공 진로 특강 - 뉴스1 | 대한항공, 아시아나항공과 미래세대에 교육기부 봉사 - news.nate.com"
google_news_rss,004990,google_news_rss,5,1,1,2,2,0,0,6,0,6,"장거리 경주 대비하는 롯데지주, 차입만기 늘린다 - KB Think | 롯데지주 회사채 수요예측서 4배 몰려…모집액 증액 결정 - 연합뉴스 | 롯데지주, '좀 더 많은 변화가 필요' 증권사 발표에 강세 - 매일경제 마켓"
google_news_rss,017810,google_news_rss,5,1,1,2,2,0,0,6,0,6,"풀무원식품, 강남구 1인가구센터와 '식생활 클래스' 운영 맞손 - 매일경제 마켓 | 풀무원푸드머스, 저소득 영유아 가정에 간식 지원 - 연합뉴스 | 풀무원, 2분기 영업익 246억원…전년比 26% 증가(1보) - v.daum.net"
google_news_rss,020560,google_news_rss,5,1,0,2,2,0,0,5,0,6,"대한·아시아나항공, 서울 양천구 초등·중학생 대상 항공 진로 특강 - 뉴스1 | 아시아나항공, 日 고베 신규 취항…간사이 하늘길 넓힌다 - news.nate.com | 대한항공, 아시아나항공과 미래세대에 교육기부 봉사 - 서울경제"
google_news_rss,023760,google_news_rss,5,1,3,1,1,1,1,10,2,3,"한국캐피탈, 보통주 1주당 40원 결산 현금배당 결정 - digitaltoday.co.kr | 한국캐피탈, 회사채 500억 조달…영업 확대 실탄 채운다 - ibtomato.com | 한국캐피탈(023760), 4분기 연속 성장 + 신용등급 상승으로 조달비용 절감! : 네이버 블로그 - Naver Blog"
google_news_rss,088390,google_news_rss,5,1,3,2,2,1,1,10,2,6,"저점을 줄때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - 씽크풀 AI | 특징주, 이녹스-2차전지 테마 상승세에 5.29% ↑ - 매일경제 마켓 | 이녹스, 오픈이노베이션 5기 스타트업과 투자계약 체결 - 서울경제"
google_news_rss,089860,google_news_rss,5,1,3,2,2,0,0,8,0,6,"대신증권 ""롯데렌탈, 점유율 확대·3분기 호실적 기대"" - 연합뉴스 | 칼라일, 최진환 전 롯데렌탈 대표 선임고문 영입 - 연합뉴스 | AI가 분석해주는 롯데렌탈 (089860) 상승확률은? - 네이버 프리미엄콘텐츠"
google_news_rss,090370,google_news_rss,5,1,3,2,2,1,1,10,2,6,"특징주, 메타랩스-탈모 치료 테마 상승세에 5.71% ↑ - 매일경제 마켓 | 메타랩스, 상반기 매출 580억 전년比 187%↑…영업익 흑자전환 - v.daum.net | 메타랩스 ""자회사 메타케어 주식 60억원에 추가취득"" - 연합뉴스"
google_news_rss,234300,google_news_rss,5,1,3,2,2,0,0,8,0,6,"에스트래픽, 美 BART 차세대 개집표기로 북미 인프라 어워드 5관왕 - news.nate.com | 에스트래픽 수주공시 - 광명~서울 고속도로 민간투자사업 운영설비(ITS) 제조.구매.설치공사 356.4억원 (매출액대비 21.2 %) - 한국경제 | 에스트래픽, LS일렉트릭 철도신호 사업 인수 계약 체결 - 서울경제"
google_news_rss,340810,google_news_rss,5,1,0,2,2,0,1,5,0,6,"[코스피·코스닥 전 거래일(3일) 주요공시] - 연합뉴스 | 시선AI (340810) - 씽크풀 AI | 시선AI, 또다시 '영구 CB M&A'…무현금 확장 '무리수' 논란 - ibtomato.com"
google_news_rss,363280,google_news_rss,5,1,2,2,2,0,0,7,0,6,"티와이홀딩스(363280) - 매일경제 마켓 | 티와이홀딩스 (363280) - 씽크풀 AI | 티와이홀딩스, 자기주식 소각 방식 감자 결정 - digitaltoday.co.kr"
google_news_rss,403550,google_news_rss,5,1,0,1,1,0,0,5,0,3,"쏘카, 기업용 카셰어링 요금제 개편…주중 10%·주말 3% 추가 할인 - 인포스탁데일리 | 쏘카, 기업 회원 요금제 개편…업무 이동 상시 할인 강화 - news.nate.com | 쏘카(403550)저점에선 물량 모아둘 기회로 보이며, 이후 전망 및 대응전략 - 씽크풀 AI"
google_news_rss,DB증권,google_news_rss,5,1,0,1,1,0,1,5,0,3,"DB증권 ""삼성전기, 제품 가격 인상 본격화"" 목표가 200만원 - 연합뉴스 | [모닝 리포트] DB證 ""은값에 코스피 힌트…산업·수급 변화 먼저 반영"" - 뉴스핌 | [본사 손님] DB증권 대표이사 사장 곽봉석 외 - 부산일보"
google_news_rss,IPARK현대산업개발,google_news_rss,5,1,3,2,2,1,1,10,2,6,"[단독] IPARK현대산업개발, 의정부 장암2구역 재개발 수주...2319가구 조성 - 데일리한국 | IPARK현대산업개발, 지역 맞춤형 사회공헌으로 상생 실천 - 주간동아 | '디벨로퍼 진면모' IPARK현대산업개발, 실적 개선 흐름 - v.daum.net"
google_news_rss,버넥트,google_news_rss,5,1,5,2,2,0,1,10,0,6,"버넥트, 다온아이앤씨와 5억원 규모 공급계약 - 데이터투자 | (내일의 거인들)하태진 버넥트 대표 ""XR 넘어 하드웨어로 수익 만든다"" - newstomato.com | 버넥트, 태안군 스마트시티 드론 모험 콘텐츠 개발·설치 계약 체결 - digitaltoday.co.kr"
